CardName,CardType,Description
Delta Tri," Effect Monster  Machine  1200  1000","If this card destroys an opponent's monster by battle, select and activate 1 of these effects: ● Select 1 appropriate Union monster in your Graveyard and equip it to this card. ● Select 1 face-up LIGHT Machine-Type monster you control, and return it to the Deck. Then draw 1 card."
Dragon Laser," Spell Card  Quick-Play","Send 1 ""Trigon"" equipped to a face-up ""Delta Tri"" you control to the Graveyard, and destroy all monsters your opponent controls."
Dread Dragon," Tuner Monster  Dragon  1100  400","When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 3 or lower Dragon-Type monster from your Deck to your hand."
Electromagnetic Shield," Spell Card  Continuous",Level 3 or lower Defense Position Thunder-Type monsters you control cannot be destroyed by battle. Destroy this card if you control a face-up Attack Position monster.
Fairy Archer," Effect Monster  Fairy  1400  600","During your Main Phase, you can inflict 400 damage to your opponent for each face-up LIGHT monster you control. This card cannot attack during the same turn you activate this effect. Only one ""Fairy Archer"" can have its effect activated per turn."
Flare Resonator," Tuner Monster  Fiend  300  1300",A Synchro Monster that used this card as a Synchro Material gains 300 ATK.
Genex Neutron," Effect Monster  Machine  1800  1200","Once per turn, during the End Phase, if this card was Normal Summoned this turn: You can add 1 Machine-Type Tuner monster from your Deck to your hand."
Guard Mines," Trap Card  Normal",Activate only when a card is activated with an effect that would target and destroy 1 monster you control. Negate the effect and destroy that card. Then inflict 500 damage to your opponent.
Herald of Perfection," Ritual Effect Monster  Fairy  1800  2800","You can Ritual Summon this card with ""Dawn of the Herald"". During either player's turn, when your opponent activates a Spell Card, Trap Card, or monster effect: You can send 1 Fairy-Type monster from your hand to the Graveyard; negate the activation, and if you do, destroy it."
Hunter of Black Feathers," Effect Monster  Beast-Warrior  1700  1000","While your opponent controls 2 or more face-up monsters, all of the same Type, you can send 1 card from your hand to the Graveyard to select and destroy 1 face-up monster your opponent controls."
Infernity Avenger," Tuner Monster  Fiend","When a monster you control, except ""Infernity Avenger"", is destroyed by battle with an opponent's monster and sent to the Graveyard, while you have no cards in your hand, you can Special Summon this card from your Graveyard. In that case, the Level of this card is equal to the Level of your destroyed monster."
Infernity Barrier," Trap Card  Counter","When your opponent activates a Spell/Trap Card, or monster effect, while you control a face-up Attack Position ""Infernity"" monster and have no cards in your hand: Negate the activation, and if you do, destroy that card."
Infernity Beetle," Tuner Monster  Insect  1200","While you have no cards in your hand, you can Tribute this card to Special Summon up to 2 ""Infernity Beetle"" from your Deck."
Infernity Break," Trap Card  Normal","If you have no cards in your hand: Target 1 ""Infernity"" card in your Graveyard and 1 card your opponent controls; banish the first target, and if you do, destroy the second target."
Infernity Destroyer," Effect Monster  Fiend  2300  1000",When this card destroys an opponent's monster by battle and sends it to the Graveyard: Inflict 1600 damage to your opponent. You must have no cards in your hand to activate and to resolve this effect.
Infernity Doom Dragon," Synchro Monster  Dragon  3000  2400","1 DARK Tuner + 1 or more non-Tuner monsters Once per turn, if you have no cards in your hand, you can select 1 monster your opponent controls. Destroy that monster and inflict damage to your opponent equal to half its ATK. This card cannot attack during the same turn you activate this effect."
Infernity Inferno," Trap Card  Normal","Discard up to 2 cards, and send the same number of ""Infernity"" cards from your Deck to the Graveyard."
Infernity Launcher," Spell Card  Continuous","Once per turn: You can send 1 ""Infernity"" monster from your hand to the Graveyard. You can send this card to the Graveyard, then target up to 2 ""Infernity"" monsters in your Graveyard; Special Summon them. You must have no cards in your hand to activate and to resolve this effect."
Infernity Mirage," Effect Monster  Fiend","This card cannot be Special Summoned from the Graveyard. If you have no cards in your hand, you can Tribute this card to select 2 ""Infernity"" monsters in your Graveyard. Special Summon those monsters."
Infernity Randomizer," Effect Monster  Warrior  900","Once per turn, while you have no cards in your hand, you can draw 1 card and reveal it. For a Monster Card drawn with this effect, inflict damage to your opponent equal to the Level of that monster x 200. For a Spell or Trap Card, you take 500 damage."
Infernity Reflector," Trap Card  Normal","Activate only by discarding all the cards in your hand when an ""Infernity"" monster you control is destroyed by battle and sent to the Graveyard. Select and Special Summon that monster from your Graveyard, and inflict 1000 damage to your opponent."
Intercept Wave," Spell Card  Quick-Play","All Synchro Monsters on the field are changed to Defense Position. And then, return all face-up Synchro Monsters to the Extra Deck during the End Phase."
Into the Void," Spell Card  Normal","If you have 3 or more cards in your hand: Draw 1 card, and if you do, during the End Phase of this turn, discard your entire hand."
Key Mouse," Tuner Monster  Beast  100  100","When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 3 or lower Beast-Type monster from your Deck to your hand."
Koa'ki Meiru Bergzak," Effect Monster  Warrior  2000  200","During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the Graveyard or reveal 1 Warrior-Type monster in your hand. If this card destroys an opponent's monster by battle, it can attack once again in a row."
Koa'ki Meiru Initialize!," Spell Card  Quick-Play","Tribute 1 ""Koa'ki Meiru"" monster to add 1 ""Iron Core of Koa'ki Meiru"" from your Deck or Graveyard to your hand."
Koa'ki Meiru Prototype," Effect Monster  Rock  1800  1800","If a face-up ""Koa'ki Meiru"" monster(s) on the field would be destroyed during the End Phase, you can destroy this card instead. When a face-up ""Koa'ki Meiru"" monster(s) on the field is destroyed during the End Phase, you can Special Summon 1 ""Koa'ki Meiru Token"" (Rock-Type/EARTH/Level 4/ATK 1800/DEF 1800)."
Koa'ki Meiru Sandman," Effect Monster  Rock  1900  1200","During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the GY or reveal 1 Rock monster in your hand. When your opponent activates a Trap Card (Quick Effect): You can Tribute this card; negate the activation, and if you do, destroy that card."
Koa'ki Meiru Shield," Trap Card  Normal","Activate only when your opponent's monster declares an attack if you have 2 or more ""Iron Core of Koa'ki Meiru"" in your Graveyard. Destroy all face-up Attack Position monsters your opponent controls."
Leeching the Light," Spell Card  Normal","Select 1 face-up LIGHT monster your opponent controls. All face-up Attack Position monsters you control gain ATK equal to the ATK of the selected monster, until the End Phase."
Lyna the Light Charmer," Flip Effect Monster  Spellcaster  500  1500","FLIP: Take control of 1 LIGHT monster your opponent controls, while this card is face-up on the field."
Magic Triangle of the Ice Barrier," Spell Card  Normal","Reveal 3 ""Ice Barrier"" monsters with different names in your hand to select 1 card your opponent controls. Destroy the opponent's card and Special Summon 1 ""Ice Barrier"" monster from your hand."
Magidog," Effect Monster  Spellcaster  1700  1000","If this card is sent to the Graveyard for the Synchro Summon of a Spellcaster-Type monster, you can select and add 1 Field Spell Card from your Graveyard to your hand."
Memory Crush King," Effect Monster  Fiend  2000","When this card inflicts Battle Damage to your opponent by a direct attack, remove from play all Synchro Monsters in your opponent's Graveyard, and inflict 1000 damage to your opponent for each monster removed."
Morphtronic Vacuumen," Effect Monster  Machine","● While in Attack Position: Once per turn, you can send 1 Equip Card equipped to this card to the Graveyard to inflict 500 damage to your opponent. ● While in Defense Position: Once per turn, you can equip 1 face-up Attack Position monster your opponent controls to this card as an Equip Card. (You can only equip 1 monster at a time to this card by this effect.)"
